name,iCliff,iCliff_after
CHEMBL1871_Ki,0.026402838718596902,0.02020472556091269
CHEMBL244_Ki,0.0470429863351244,0.035784644418432855
CHEMBL4005_Ki,0.02960430821474088,0.018379075224977743
CHEMBL214_Ki,0.02903542633107793,0.020659566569526642
CHEMBL233_Ki,0.03214709628047203,0.024279467523604298
CHEMBL264_Ki,0.023523992848621108,0.0139755728275037
CHEMBL234_Ki,0.030723127513714213,0.020753257352508422
CHEMBL204_Ki,0.025374551278559584,0.019735510422575167
CHEMBL2147_Ki,0.0379894313823382,0.02945747260177333
CHEMBL237_EC50,0.03607630844855161,0.025040627370549077
CHEMBL219_Ki,0.02613508057094468,0.018806564019922496
CHEMBL2835_Ki,0.03566208242557697,0.008676558004150762
CHEMBL237_Ki,0.029618951910642132,0.022717459114479137
CHEMBL2971_Ki,0.042292239356884365,0.028476748499139375
CHEMBL4616_EC50,0.02623168880300102,0.017288337653669814
CHEMBL218_EC50,0.024782541474421358,0.017343177485613828
CHEMBL2034_Ki,0.03422186170130995,0.018586830176342856
CHEMBL287_Ki,0.027959737612516602,0.018114665642880057
CHEMBL236_Ki,0.038510617025642506,0.02878528888532601
CHEMBL4203_Ki,0.024920620470249632,0.01638741839086125
CHEMBL262_Ki,0.025411201624211992,0.01732879532970435
CHEMBL235_EC50,0.0280140073424111,0.018661457981677853
CHEMBL3979_EC50,0.0360358089871682,0.02715574443673027
CHEMBL238_Ki,0.02768771332129518,0.020159082896361803
CHEMBL2047_EC50,0.023925489708904537,0.01560708694459841
CHEMBL231_Ki,0.03433164744086004,0.025830873164675344
CHEMBL4792_Ki,0.03769190103700337,0.027356676535465453
CHEMBL228_Ki,0.030398194558748898,0.021834361284544915
CHEMBL1862_Ki,0.03599779623175264,0.0243678210694406
CHEMBL239_EC50,0.02937973802546631,0.020196391774713104
